Designator,Mid X,Mid Y,Rotation,Layer
D1,76.05,-49.575,0.0,top
D2,76.2,-58.275,0.0,top
SW1,56.99125,-74.4275,0.0,top
SW2,76.03,-74.41,0.0,top
SW3,95.03,-74.41,0.0,top
SW4,93.85,-54.3,0.0,top
U1,59.53125,-53.3685,0.0,top
